Transaction_ID,Card_ID,Transaction_Amount,Merchant,Transaction_Type,Average_Transaction_Per_Day,Accumulated_Transactions,Average_Transaction_Amount,Accumulated_Amount,Transaction_Location,Previous_Location,Time_Difference (min),Is_Fraudulent
T718341,C21954,348.1,eBay,E-Commerce,3,36,62.07,751.1,Ecuador,Ecuador,108.0,0
T666707,C36983,585.82,G2A,E-Commerce,13,13,445.47,407.31,Ecuador,Ecuador,35.0,0
T363546,C47649,489.02,Booking,E-Commerce,3,18,740.45,141.74,Ecuador,Ecuador,27.0,0
T102926,C27374,739.05,Booking,E-Commerce,21,28,311.97,959.93,Ecuador,Ecuador,54.0,0
T328307,C39592,325.86,Steam,E-Commerce,13,15,499.17,53.97,Ecuador,Ecuador,91.0,0
T422249,C14551,237.1,Booking,E-Commerce,33,20,807.45,469.96,Ecuador,Ecuador,54.0,0
T900701,C16721,838.04,Cartier,E-Commerce,34,30,957.49,384.88,Ecuador,Ecuador,87.0,0
T268312,C75834,506.52,eBay,E-Commerce,24,23,92.85,520.75,Ecuador,Ecuador,114.0,0
T292677,C61343,451.57,Zales,E-Commerce,14,30,856.42,586.89,Ecuador,Ecuador,56.0,0
T134051,C90968,57.29,Walmart,E-Commerce,26,15,305.15,737.61,Ecuador,Ecuador,79.0,0
T532532,C50211,131.69,G2A,E-Commerce,17,5,669.95,561.26,Ecuador,Ecuador,5.0,0
T274068,C97903,450.72,Steam,E-Commerce,34,33,576.25,642.51,Ecuador,Ecuador,15.0,0
T869447,C72477,634.84,eBay,E-Commerce,34,34,126.28,452.39,Ecuador,Ecuador,82.0,0
T642962,C25485,844.16,Delta Airlines,E-Commerce,5,21,777.23,523.49,Ecuador,Ecuador,96.0,0
T842551,C53494,586.7,Steam,E-Commerce,33,15,86.27,177.68,Ecuador,Ecuador,94.0,0
T823934,C84785,110.44,Walmart,E-Commerce,12,23,703.32,469.25,Ecuador,Ecuador,54.0,0
T239527,C89426,387.05,Epic Games,E-Commerce,5,37,663.37,869.95,Ecuador,Ecuador,76.0,0
T525637,C99680,831.23,American Airlines,E-Commerce,1,26,428.19,131.96,Ecuador,Ecuador,93.0,0
T938427,C17500,289.21,Zephora,E-Commerce,10,21,335.35,385.61,Chile,Ecuador,38.0,0
T562562,C39292,916.19,LATAM,E-Commerce,15,32,271.81,606.42,Chile,Chile,68.0,0
T550623,C59993,10.87,Shein,E-Commerce,11,24,441.89,701.07,Chile,Chile,17.0,0
T275908,C96881,261.15,G2A,E-Commerce,7,35,918.04,395.16,Chile,Chile,102.0,0
T908380,C27096,261.74,Amazon Gift Cards,E-Commerce,30,14,541.46,815.06,Chile,Chile,79.0,0
T166716,C11398,757.64,Cartier,E-Commerce,16,27,239.76,820.55,Chile,Chile,2.0,0
T111034,C89775,742.41,Zales,E-Commerce,37,37,992.69,69.35,Chile,Chile,41.0,0
T439490,C30211,39.16,Walmart,E-Commerce,24,18,384.06,51.67,Chile,Chile,116.0,0
T265593,C45313,789.95,American Airlines,E-Commerce,17,19,402.64,221.57,Chile,Chile,85.0,0
T208461,C77957,741.52,Epic Games,E-Commerce,28,13,106.37,24.24,Chile,Chile,10.0,0
T568904,C36395,437.41,Epic Games,E-Commerce,19,4,904.97,249.23,Ecuador,Chile,4.0,1
T173630,C17785,723.0,Amazon,E-Commerce,35,24,753.8,488.03,Ecuador,Ecuador,93.0,0
T456161,C15793,738.73,Walmart,E-Commerce,36,14,840.98,217.51,Ecuador,Ecuador,116.0,0
T457364,C75383,995.27,Shein,E-Commerce,31,3,564.54,883.94,Ecuador,Ecuador,82.0,0
T457751,C82202,596.03,Booking,E-Commerce,11,17,18.74,580.94,Ecuador,Ecuador,73.0,0
T486805,C24687,258.42,American Airlines,E-Commerce,31,3,407.68,427.25,Ecuador,Ecuador,14.0,0
T750819,C88717,48.59,Amazon,E-Commerce,13,38,259.01,775.33,Ecuador,Ecuador,82.0,0
T725459,C98933,974.57,G2A,E-Commerce,35,23,386.12,960.96,Ecuador,Ecuador,46.0,0
T431696,C93246,930.28,Booking,E-Commerce,26,28,285.4,813.1,Ecuador,Ecuador,119.0,0
T807066,C90679,383.32,Steam,E-Commerce,34,7,133.92,897.86,Ecuador,Ecuador,17.0,0
T997675,C65586,583.74,LATAM,E-Commerce,4,13,532.3,919.23,Ecuador,Ecuador,33.0,0
T568368,C54711,905.67,Tiffany & Co.,E-Commerce,30,22,898.06,898.33,Ecuador,Ecuador,16.0,0
T453547,C69001,137.65,Cartier,E-Commerce,33,4,461.34,211.64,India,Ecuador,103.0,0
T662195,C13716,692.14,G2A,E-Commerce,5,33,965.95,53.58,India,India,64.0,0
T837212,C10756,288.52,Amazon,E-Commerce,27,15,438.31,459.52,India,India,12.0,0
T923277,C45034,429.34,G2A,E-Commerce,26,27,120.26,362.11,India,India,32.0,0
T407550,C19272,24.03,Steam,E-Commerce,25,33,327.81,273.11,India,India,10.0,0
T331938,C54981,449.41,Tiffany & Co.,E-Commerce,2,24,376.1,101.08,India,India,58.0,0
T358571,C76496,846.83,Cartier,E-Commerce,17,10,462.85,660.79,India,India,28.0,0
T882297,C37788,834.45,Steam,E-Commerce,7,35,882.61,461.55,India,India,65.0,0
T148103,C89678,688.93,eBay,E-Commerce,14,2,856.04,539.3,India,India,93.0,0
T861978,C41992,913.07,eBay,E-Commerce,4,5,141.53,71.38,India,India,83.0,0
T959361,C49475,979.91,Cartier,E-Commerce,36,10,648.57,859.57,India,India,70.0,0
T131141,C84363,599.79,G2A,E-Commerce,10,38,441.45,439.09,India,India,65.0,0
T835981,C69070,867.1,Booking,E-Commerce,26,8,554.45,128.43,India,India,3.0,0
T508977,C64191,968.31,Tiffany & Co.,E-Commerce,20,28,882.21,482.2,India,India,95.0,0
T250930,C64596,594.06,Tiffany & Co.,E-Commerce,13,28,537.46,2.33,India,India,102.0,0
T986099,C84086,961.27,Amazon,E-Commerce,16,23,657.01,502.64,India,India,40.0,0
T937919,C97468,272.53,eBay,E-Commerce,27,31,420.37,898.45,India,India,71.0,0
T220411,C30080,245.29,Epic Games,E-Commerce,29,14,558.89,349.15,India,India,90.0,0
T121892,C75285,97.82,Amazon Gift Cards,E-Commerce,29,31,718.29,223.09,India,India,111.0,0
T765087,C93928,829.16,American Airlines,E-Commerce,37,36,838.71,652.99,India,India,40.0,0
T553623,C15366,5.27,Booking,E-Commerce,2,37,873.8,771.28,India,India,52.0,0
T221997,C83920,92.18,Tiffany & Co.,E-Commerce,13,30,525.46,853.49,India,India,119.0,0
T542852,C34405,135.08,Amazon Gift Cards,E-Commerce,10,26,662.55,749.65,India,India,4.0,0
T247482,C22955,818.06,Epic Games,E-Commerce,19,10,679.37,87.51,India,India,27.0,0
T289293,C72232,566.69,Amazon,E-Commerce,32,36,34.67,677.95,India,India,93.0,0
T747944,C86996,867.28,Shein,E-Commerce,6,31,483.34,540.93,Ecuador,India,97.0,0
T767804,C21424,78.13,Cartier,E-Commerce,1,35,533.37,678.05,Ecuador,Ecuador,109.0,0
T857572,C12856,939.33,American Airlines,E-Commerce,11,26,812.15,487.71,Ecuador,Ecuador,51.0,0
T635707,C17626,37.1,Cartier,E-Commerce,16,13,113.61,129.6,Ecuador,Ecuador,67.0,0
T415772,C94495,255.76,G2A,E-Commerce,9,22,98.56,924.38,Ecuador,Ecuador,39.0,0
T209725,C39463,585.42,eBay,E-Commerce,11,4,38.63,4.73,Ecuador,Ecuador,46.0,0
T477345,C45418,62.69,eBay,E-Commerce,23,12,828.21,706.09,Ecuador,Ecuador,119.0,0
T702463,C20682,462.34,Steam,E-Commerce,4,4,920.94,117.21,Ecuador,Ecuador,3.0,0
T146972,C53627,13.04,Delta Airlines,E-Commerce,11,19,253.0,378.66,Ecuador,Ecuador,32.0,0
T178907,C69875,170.9,Amazon,E-Commerce,37,36,933.8,883.46,Ecuador,Ecuador,35.0,0
T544231,C44928,885.27,G2A,E-Commerce,9,1,647.97,148.13,Ecuador,Ecuador,96.0,0
T481619,C94425,761.22,Zales,E-Commerce,21,34,460.71,155.87,Ecuador,Ecuador,2.0,0
T316733,C96823,691.38,Shein,E-Commerce,6,37,956.73,227.59,Ecuador,Ecuador,67.0,0
T626010,C80205,613.26,Walmart,E-Commerce,37,15,989.14,813.73,Ecuador,Ecuador,15.0,0
T164805,C63410,932.82,Zephora,E-Commerce,7,17,302.05,540.24,Ecuador,Ecuador,83.0,0
T514698,C83805,332.15,Zephora,E-Commerce,30,32,460.54,377.93,Ecuador,Ecuador,82.0,0
T937903,C19116,202.36,eBay,E-Commerce,10,9,197.58,15.83,Ecuador,Ecuador,35.0,0
T467369,C47856,417.86,Epic Games,E-Commerce,14,19,101.51,332.54,Ecuador,Ecuador,110.0,0
T771340,C58711,217.93,American Airlines,E-Commerce,9,13,986.0,542.31,Ecuador,Ecuador,102.0,0
T450206,C49716,660.73,eBay,E-Commerce,24,39,775.69,361.96,Ecuador,Ecuador,2.0,0
T668529,C79474,606.6,Shein,E-Commerce,36,30,224.38,922.39,Ecuador,Ecuador,54.0,0
T325891,C31255,614.98,Booking,E-Commerce,21,24,483.92,690.26,Ecuador,Ecuador,3.0,0
T876822,C23211,75.24,Walmart,E-Commerce,20,14,369.74,726.72,Ecuador,Ecuador,112.0,0
T128374,C34717,214.58,Steam,E-Commerce,22,3,891.76,839.51,Ecuador,Ecuador,80.0,0
T743685,C61216,361.16,Zephora,E-Commerce,27,5,293.13,941.32,Ecuador,Ecuador,41.0,0
T511388,C84792,664.7,G2A,E-Commerce,38,6,343.74,888.3,Ecuador,Ecuador,86.0,0
T811888,C19236,605.8,Booking,E-Commerce,19,18,832.38,366.47,Ecuador,Ecuador,63.0,0
T155277,C25909,190.37,Tiffany & Co.,E-Commerce,2,8,348.74,242.32,Ecuador,Ecuador,16.0,0
T703642,C17457,920.22,Cartier,E-Commerce,20,25,219.34,245.5,Ecuador,Ecuador,107.0,0
T555753,C69154,978.99,Delta Airlines,E-Commerce,16,12,498.82,503.82,Ecuador,Ecuador,45.0,0
T278341,C89299,246.95,Epic Games,E-Commerce,39,37,100.36,11.41,Ecuador,Ecuador,23.0,0
T846860,C22579,533.55,Epic Games,E-Commerce,36,19,825.14,329.68,Ecuador,Ecuador,57.0,0
T793204,C74112,902.15,American Airlines,E-Commerce,5,18,571.23,927.61,Chile,Ecuador,103.0,0
T922558,C24430,505.79,Tiffany & Co.,E-Commerce,21,30,877.59,949.49,Chile,Chile,35.0,0
T726819,C22380,982.54,American Airlines,E-Commerce,20,31,109.59,259.24,Chile,Chile,20.0,0
T348240,C25554,787.24,Shein,E-Commerce,11,37,509.06,865.47,Chile,Chile,99.0,0
T871258,C60187,966.36,American Airlines,E-Commerce,11,5,319.21,879.48,Chile,Chile,61.0,0
T590527,C58014,274.95,Zales,E-Commerce,14,11,766.02,369.51,Chile,Chile,91.0,0
T327298,C61875,567.28,Amazon Gift Cards,E-Commerce,1,25,547.4,954.11,Chile,Chile,52.0,0
T236645,C51978,994.9,Cartier,E-Commerce,13,2,172.63,961.0,Ecuador,Chile,88.0,0
T747736,C49303,133.29,eBay,E-Commerce,22,21,524.54,449.5,Ecuador,Ecuador,100.0,0
T446902,C41040,140.48,eBay,E-Commerce,30,30,943.25,906.72,Ecuador,Ecuador,114.0,0
T661142,C31564,999.43,American Airlines,E-Commerce,35,21,591.44,56.25,Ecuador,Ecuador,98.0,0
T865843,C98331,711.16,eBay,E-Commerce,27,20,188.19,501.12,Ecuador,Ecuador,105.0,0
T488601,C75197,203.25,Tiffany & Co.,E-Commerce,12,18,792.13,662.25,Ecuador,Ecuador,80.0,0
T928522,C33320,479.9,Shein,E-Commerce,7,9,864.66,165.54,Ecuador,Ecuador,102.0,0
T885059,C71087,821.04,eBay,E-Commerce,7,31,26.6,322.97,Ecuador,Ecuador,10.0,0
T284677,C44409,758.63,American Airlines,E-Commerce,2,26,985.83,97.43,Ecuador,Ecuador,7.0,0
T286584,C24610,450.68,Steam,E-Commerce,19,24,69.21,732.28,Ecuador,Ecuador,96.0,0
T422158,C49186,828.28,LATAM,E-Commerce,3,25,237.04,750.57,Ecuador,Ecuador,2.0,0
T396175,C79522,191.62,Epic Games,E-Commerce,21,23,95.98,336.16,Ecuador,Ecuador,19.0,0
T705863,C71568,984.72,Walmart,E-Commerce,11,39,976.69,493.92,Ecuador,Ecuador,6.0,0
T978669,C13284,819.94,LATAM,E-Commerce,17,32,998.11,539.87,Ecuador,Ecuador,4.0,0
T882512,C49912,804.74,Zephora,E-Commerce,34,28,104.4,925.81,Ecuador,Ecuador,59.0,0
T573195,C45189,317.25,Zephora,E-Commerce,31,13,359.06,517.64,Ecuador,Ecuador,37.0,0
T216919,C16464,137.14,Steam,E-Commerce,25,28,970.61,859.93,Ecuador,Ecuador,115.0,0
T567535,C11795,778.23,Cartier,E-Commerce,15,16,794.17,30.81,Ecuador,Ecuador,15.0,0
T577905,C42527,152.0,Tiffany & Co.,E-Commerce,31,7,692.67,570.8,Ecuador,Ecuador,57.0,0
T577736,C74434,994.62,Steam,E-Commerce,19,15,142.37,401.96,Ecuador,Ecuador,15.0,0
T761334,C80093,960.97,Shein,E-Commerce,24,32,284.71,967.05,Ecuador,Ecuador,38.0,0
T237961,C28424,107.15,Walmart,E-Commerce,22,6,983.31,172.82,Ecuador,Ecuador,30.0,0
T687341,C88414,229.24,Zales,E-Commerce,21,29,247.32,415.94,Ecuador,Ecuador,9.0,0
T613801,C24287,817.88,LATAM,E-Commerce,8,10,439.76,570.62,Ecuador,Ecuador,20.0,0
T659080,C44207,446.24,eBay,E-Commerce,38,17,33.61,548.89,Ecuador,Ecuador,97.0,0
T800125,C78818,883.39,Amazon,E-Commerce,22,39,669.48,721.33,Ecuador,Ecuador,73.0,0
T499159,C43567,38.87,Shein,E-Commerce,39,3,566.87,269.29,Ecuador,Ecuador,118.0,0
T535442,C17487,272.14,LATAM,E-Commerce,17,29,564.96,864.16,Ecuador,Ecuador,94.0,0
T513493,C34711,807.11,Booking,E-Commerce,13,10,445.08,612.69,Ecuador,Ecuador,96.0,0
T855904,C38740,138.91,Walmart,E-Commerce,36,38,494.97,685.73,Ecuador,Ecuador,107.0,0
T506413,C91187,727.24,Walmart,E-Commerce,17,11,799.11,580.96,Ecuador,Ecuador,67.0,0
T412787,C56576,811.23,Booking,E-Commerce,26,33,814.22,507.31,Peru,Ecuador,33.0,0
T144132,C58527,741.07,Steam,E-Commerce,10,3,786.49,835.11,Peru,Peru,14.0,0
T762334,C99219,508.09,Cartier,E-Commerce,4,12,463.92,110.93,Peru,Peru,59.0,0
T478581,C38328,87.08,eBay,E-Commerce,35,23,324.94,678.61,Peru,Peru,81.0,0
T872532,C22197,886.25,Cartier,E-Commerce,13,2,977.94,670.46,Peru,Peru,39.0,0
T183472,C36458,928.41,Amazon,E-Commerce,20,22,317.85,403.09,Peru,Peru,89.0,0
T624633,C86423,541.09,Shein,E-Commerce,6,6,361.32,85.94,Peru,Peru,19.0,0
T343072,C28204,218.25,Cartier,E-Commerce,28,11,957.05,530.51,Peru,Peru,45.0,0
T930190,C38036,192.27,G2A,E-Commerce,12,8,589.6,587.72,Ecuador,Peru,35.0,0
T955791,C41898,456.92,Steam,E-Commerce,27,27,288.08,583.11,Ecuador,Ecuador,36.0,0
T827686,C86227,347.94,Booking,E-Commerce,6,21,686.49,110.14,Ecuador,Ecuador,69.0,0
T560312,C79886,366.83,Amazon Gift Cards,E-Commerce,17,17,31.47,964.37,Ecuador,Ecuador,88.0,0
T210972,C63928,644.58,Delta Airlines,E-Commerce,36,6,258.48,743.09,Ecuador,Ecuador,60.0,0
T375605,C44578,280.11,Amazon,E-Commerce,19,34,812.12,365.0,Ecuador,Ecuador,63.0,0
T365636,C81517,859.42,Amazon,E-Commerce,12,29,869.51,891.05,Ecuador,Ecuador,79.0,0
T666367,C48499,827.27,eBay,E-Commerce,4,19,404.48,867.06,Ecuador,Ecuador,102.0,0
T365192,C90844,103.01,Delta Airlines,E-Commerce,28,12,973.16,9.17,Ecuador,Ecuador,49.0,0
T364342,C70442,854.06,Shein,E-Commerce,13,24,715.84,806.21,Ecuador,Ecuador,31.0,0
T437472,C75855,651.29,Tiffany & Co.,E-Commerce,18,9,573.69,547.09,Ecuador,Ecuador,44.0,0
T761103,C71630,664.62,Steam,E-Commerce,15,14,602.52,424.31,Ecuador,Ecuador,5.0,0
T445623,C62494,149.88,Amazon Gift Cards,E-Commerce,31,2,674.27,723.32,Ecuador,Ecuador,88.0,0
T540326,C60040,334.26,Cartier,E-Commerce,22,29,927.95,60.83,Ecuador,Ecuador,87.0,0
T776608,C68510,157.55,eBay,E-Commerce,37,18,782.18,29.13,Ecuador,Ecuador,55.0,0
T745888,C45871,202.09,Amazon,E-Commerce,11,19,165.19,712.64,Ecuador,Ecuador,72.0,0
T793792,C18094,175.96,eBay,E-Commerce,20,39,558.18,661.66,Ecuador,Ecuador,68.0,0
T429602,C88289,68.83,Booking,E-Commerce,38,30,511.2,363.24,Ecuador,Ecuador,13.0,0
T843479,C23060,254.58,eBay,E-Commerce,8,25,62.84,684.4,Ecuador,Ecuador,15.0,0
T309614,C14122,260.05,Epic Games,E-Commerce,5,32,84.89,278.55,Ecuador,Ecuador,100.0,0
T393481,C76342,451.01,Zephora,E-Commerce,28,24,569.25,594.97,Ecuador,Ecuador,60.0,0
T185410,C23241,788.51,Steam,E-Commerce,7,15,687.85,924.29,Ecuador,Ecuador,54.0,0
T707222,C28187,91.43,Epic Games,E-Commerce,39,30,478.26,373.73,Ecuador,Ecuador,117.0,0
T411618,C12217,43.53,American Airlines,E-Commerce,33,27,416.93,177.75,Ecuador,Ecuador,81.0,0
T984330,C60499,342.24,Zephora,E-Commerce,30,19,233.0,460.68,Ecuador,Ecuador,43.0,0
T503947,C86269,876.76,Zephora,E-Commerce,24,34,950.33,482.33,Ecuador,Ecuador,119.0,0
T724807,C76312,698.47,Shein,E-Commerce,29,3,819.05,67.98,Peru,Ecuador,6.0,1
T807651,C65873,982.06,Zephora,E-Commerce,15,14,300.17,202.16,Peru,Peru,69.0,0
T229658,C55571,259.46,Steam,E-Commerce,16,21,617.7,277.23,Peru,Peru,45.0,0
T416477,C16245,358.26,Shein,E-Commerce,10,1,611.04,186.84,Peru,Peru,29.0,0
T402716,C86464,388.73,LATAM,E-Commerce,34,1,317.81,388.09,Peru,Peru,84.0,0
T498515,C29236,742.89,Zales,E-Commerce,34,7,72.73,813.35,Peru,Peru,33.0,0
T379339,C39442,967.97,LATAM,E-Commerce,28,35,158.67,773.87,Peru,Peru,78.0,0
T872477,C89472,96.86,LATAM,E-Commerce,8,34,845.16,484.9,Peru,Peru,22.0,0
T195615,C99202,661.65,Zephora,E-Commerce,24,6,659.86,226.78,Peru,Peru,86.0,0
T680049,C37621,276.96,G2A,E-Commerce,1,21,269.56,643.1,Peru,Peru,52.0,0
T813584,C96488,727.75,Amazon Gift Cards,E-Commerce,12,8,650.19,42.68,Peru,Peru,101.0,0
T341076,C76154,625.1,Booking,E-Commerce,31,6,155.56,750.48,Peru,Peru,52.0,0
T735747,C39135,674.57,Walmart,E-Commerce,3,5,847.42,264.95,Peru,Peru,74.0,0
T419334,C17590,263.81,Booking,E-Commerce,17,6,663.95,615.53,Chile,Peru,15.0,0
T401667,C85467,457.55,Steam,E-Commerce,2,2,853.28,201.95,Chile,Chile,44.0,0
T106564,C63168,25.67,Delta Airlines,E-Commerce,4,32,338.25,794.93,Chile,Chile,55.0,0
T563087,C56026,742.92,Walmart,E-Commerce,38,16,557.83,596.65,Ecuador,Chile,36.0,0
T540494,C26582,683.43,Zephora,E-Commerce,11,25,249.91,930.78,Indonesia,Ecuador,8.0,1
T250327,C85663,25.9,Booking,E-Commerce,18,32,456.83,239.43,Indonesia,Indonesia,9.0,0
T309324,C75251,782.0,Steam,E-Commerce,1,7,189.53,46.04,Indonesia,Indonesia,78.0,0
T262792,C93334,518.42,Booking,E-Commerce,24,21,608.83,654.74,Indonesia,Indonesia,31.0,0
T415028,C56985,102.1,Shein,E-Commerce,22,38,422.56,760.04,Indonesia,Indonesia,31.0,0
T275065,C55072,645.27,Delta Airlines,E-Commerce,18,29,740.13,612.49,Indonesia,Indonesia,53.0,0
T393817,C85282,681.96,Zales,E-Commerce,31,27,971.63,31.55,Indonesia,Indonesia,19.0,0
T535767,C42643,229.77,eBay,E-Commerce,3,3,967.79,532.33,Indonesia,Indonesia,95.0,0
T398365,C81141,182.46,Epic Games,E-Commerce,13,8,738.68,240.86,Indonesia,Indonesia,86.0,0
T161488,C24565,148.65,Epic Games,E-Commerce,5,14,231.44,410.27,Indonesia,Indonesia,51.0,0
T465107,C18073,883.97,Epic Games,E-Commerce,29,15,642.53,982.86,Indonesia,Indonesia,113.0,0
T288697,C39128,243.96,Zales,E-Commerce,20,12,72.29,409.25,Ecuador,Indonesia,114.0,0
T514140,C44317,183.09,Cartier,E-Commerce,9,7,732.81,771.4,Ecuador,Ecuador,109.0,0
T251021,C42285,394.19,Zales,E-Commerce,11,6,709.4,896.73,Ecuador,Ecuador,45.0,0
T326324,C51215,839.76,Amazon,E-Commerce,31,17,93.24,826.98,Ecuador,Ecuador,35.0,0
T779366,C10691,953.45,Walmart,E-Commerce,24,17,57.19,884.2,Ecuador,Ecuador,65.0,0
T952684,C12218,854.99,Tiffany & Co.,E-Commerce,33,13,642.42,342.67,Ecuador,Ecuador,45.0,0
T641534,C61060,960.78,Amazon,E-Commerce,20,36,632.71,458.66,Ecuador,Ecuador,114.0,0
T458383,C96517,676.74,Epic Games,E-Commerce,25,27,11.79,885.24,Ecuador,Ecuador,100.0,0
T803953,C63888,411.38,Tiffany & Co.,E-Commerce,12,9,860.66,753.42,Ecuador,Ecuador,45.0,0
T259277,C47751,891.68,Booking,E-Commerce,16,12,231.98,801.83,Chile,Ecuador,91.0,0
T805833,C49126,744.43,LATAM,E-Commerce,30,39,339.29,290.7,Chile,Chile,65.0,0
T322214,C78396,483.26,Amazon,E-Commerce,34,30,635.78,808.61,Chile,Chile,100.0,0
T336615,C39075,45.07,Delta Airlines,E-Commerce,15,36,962.24,994.43,Chile,Chile,34.0,0
T324754,C19005,260.37,Cartier,E-Commerce,18,6,940.49,825.51,Chile,Chile,2.0,0
T852262,C70187,116.52,Amazon Gift Cards,E-Commerce,21,7,689.51,413.37,Chile,Chile,38.0,0
T669717,C95992,624.48,Booking,E-Commerce,32,26,74.92,166.1,Chile,Chile,31.0,0
T828681,C46527,556.67,Shein,E-Commerce,39,39,406.0,11.74,Chile,Chile,3.0,0
T684012,C96138,20.77,Amazon Gift Cards,E-Commerce,36,39,619.5,509.73,Chile,Chile,42.0,0
T874453,C28121,627.26,Steam,E-Commerce,35,17,922.8,946.62,Ecuador,Chile,105.0,0
T964183,C21193,363.03,Amazon Gift Cards,E-Commerce,37,16,841.04,938.78,Ecuador,Ecuador,6.0,0
T650034,C37415,869.13,American Airlines,E-Commerce,10,13,704.39,141.81,Ecuador,Ecuador,42.0,0
T756681,C43969,588.27,Amazon Gift Cards,E-Commerce,11,13,253.22,431.95,Ecuador,Ecuador,62.0,0
T585626,C85798,741.57,eBay,E-Commerce,33,36,86.35,438.25,Ecuador,Ecuador,58.0,0
T355024,C42885,667.58,Steam,E-Commerce,25,32,434.65,358.87,Ecuador,Ecuador,54.0,0
T829425,C49313,956.59,Delta Airlines,E-Commerce,10,11,888.44,981.75,Ecuador,Ecuador,71.0,0
T276846,C91007,319.15,Amazon Gift Cards,E-Commerce,11,31,515.74,712.07,Ecuador,Ecuador,91.0,0
T245981,C51147,718.69,Delta Airlines,E-Commerce,15,34,96.48,354.06,Ecuador,Ecuador,92.0,0
T589408,C39581,85.46,G2A,E-Commerce,12,16,333.96,278.83,Ecuador,Ecuador,15.0,0
T414802,C69256,561.48,Epic Games,E-Commerce,24,12,741.42,454.77,Ecuador,Ecuador,68.0,0
T752031,C46755,861.77,Tiffany & Co.,E-Commerce,21,28,659.38,956.8,Ecuador,Ecuador,11.0,0
T218811,C50624,228.78,Zales,E-Commerce,27,30,963.67,761.78,Ecuador,Ecuador,43.0,0
T313793,C61069,696.26,Shein,E-Commerce,21,24,763.73,218.28,Colombia,Ecuador,34.0,0
T608216,C69705,858.94,eBay,E-Commerce,22,2,490.52,585.96,Colombia,Colombia,43.0,0
T409180,C75308,644.75,Tiffany & Co.,E-Commerce,7,9,261.11,463.61,Colombia,Colombia,45.0,0
T582763,C60960,910.71,LATAM,E-Commerce,4,39,970.77,816.38,Colombia,Colombia,72.0,0
T863563,C72222,89.59,LATAM,E-Commerce,33,20,875.96,143.45,Colombia,Colombia,6.0,0
T759747,C74244,351.71,LATAM,E-Commerce,10,22,457.36,31.4,Ecuador,Colombia,22.0,0
T638120,C29743,615.33,Zephora,E-Commerce,10,30,76.58,300.38,Ecuador,Ecuador,65.0,0
T335820,C59239,357.56,Steam,E-Commerce,21,27,324.87,504.34,Ecuador,Ecuador,83.0,0
T941708,C54331,29.51,Walmart,E-Commerce,36,2,566.22,582.1,Ecuador,Ecuador,38.0,0
T605568,C24300,557.7,Amazon Gift Cards,E-Commerce,17,12,805.2,984.59,Ecuador,Ecuador,7.0,0
T140285,C57006,20.92,LATAM,E-Commerce,37,39,271.83,649.93,Ecuador,Ecuador,87.0,0
T306728,C66348,134.4,Booking,E-Commerce,13,6,748.16,502.33,Ecuador,Ecuador,16.0,0
T769548,C23788,377.51,Steam,E-Commerce,24,6,148.97,70.41,Ecuador,Ecuador,36.0,0
T348142,C92808,472.68,Zephora,E-Commerce,23,39,331.84,954.43,Ecuador,Ecuador,54.0,0
T726833,C20231,8.74,LATAM,E-Commerce,9,9,857.51,782.53,Ecuador,Ecuador,15.0,0
T982934,C17762,937.5,Epic Games,E-Commerce,25,29,720.54,929.72,Ecuador,Ecuador,63.0,0
T553646,C85109,129.22,Walmart,E-Commerce,38,17,883.33,72.64,Ecuador,Ecuador,54.0,0
T164488,C74446,56.91,Walmart,E-Commerce,30,28,297.94,240.95,Ecuador,Ecuador,92.0,0
T980029,C73139,117.69,American Airlines,E-Commerce,9,27,784.24,381.83,Ecuador,Ecuador,116.0,0
T383847,C76200,986.94,Booking,E-Commerce,11,39,812.28,78.77,Ecuador,Ecuador,19.0,0
T296357,C53152,703.78,Epic Games,E-Commerce,37,35,904.17,701.81,Ecuador,Ecuador,72.0,0
T253049,C85483,980.38,Amazon Gift Cards,E-Commerce,21,25,451.22,461.6,Ecuador,Ecuador,109.0,0
T388194,C16828,793.07,Epic Games,E-Commerce,21,4,239.75,392.29,Ecuador,Ecuador,100.0,0
T872968,C77384,120.4,Cartier,E-Commerce,14,25,285.16,178.58,Ecuador,Ecuador,29.0,0
T544144,C99235,736.61,Delta Airlines,E-Commerce,20,19,708.0,601.94,Ecuador,Ecuador,105.0,0
T183697,C77753,283.34,LATAM,E-Commerce,38,32,769.89,144.56,Ecuador,Ecuador,108.0,0
T225607,C16078,458.64,G2A,E-Commerce,24,22,1.68,495.54,Ecuador,Ecuador,38.0,0
T792457,C84582,521.52,Amazon,E-Commerce,29,11,703.71,114.09,Ecuador,Ecuador,51.0,0
T255399,C62268,644.6,Cartier,E-Commerce,8,31,636.48,961.38,Ecuador,Ecuador,14.0,0
T872067,C26767,686.9,Booking,E-Commerce,34,14,285.38,242.43,Ecuador,Ecuador,11.0,0
T875815,C93701,3.9,LATAM,E-Commerce,33,39,829.04,900.04,Ecuador,Ecuador,106.0,0
T815533,C44518,160.03,American Airlines,E-Commerce,3,9,914.75,829.84,Ecuador,Ecuador,80.0,0
T683024,C86562,503.79,Steam,E-Commerce,12,24,552.01,49.44,Ecuador,Ecuador,83.0,0
T306164,C32754,411.35,Tiffany & Co.,E-Commerce,25,37,928.19,271.52,Ecuador,Ecuador,3.0,0
